Hospital Name,"Hospital county
and zip code","patients - suspected and
confirmed (including ICU)","Hospitalized COVID Patients in
ICU - suspected and confirmed"
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,13,4
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,3,0
Baystate Medical Center,Hampden - 01199,133,19
Baystate Noble Hospital,Hampden - 01085,5,0
Berkshire Medical Center,Berkshire - 01201,22,8
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,67,11
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,33,5
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,43,3
Beth Israel Deaconess Medical Center,Suffolk - 02215,228,88
Beverly Hospital,Essex - 01915,85,9
Boston Childrens Hospital,Suffolk - 02115,11,3
Boston Medical Center,Suffolk - 02118,261,63
Brigham and Womens - Faulkner,Suffolk - 02130,71,9
Brigham and Womens Hospital,Suffolk - 02115,183,84
Brockton Hospital,Plymouth - 02302,98,18
Cambridge Hospital,Middlesex - 02139,107,21
Cape Cod Hospital,Barnstable - 02601,27,6
Carney Hospital,Suffolk - 02124,67,16
Clinton Hospital,Worcester- 01510,0,0
Cooley Dickinson Hospital,Hampshire - 01060,17,6
Emerson Hospital,Middlesex - 01742,29,4
Fairview Hospital,Berkshire - 01230,2,0
Falmouth Hospital,Barnstable - 02540,19,7
Good Samaritan Medical Center,Plymouth - 02301,93,8
Harrington Hospital,Worcester - 01550,7,4
Health Alliance-Leominster,Worcester - 01453,23,5
Heywood Hospital,Worcester - 01440,13,2
Holy Family Hospital,Essex - 01844,78,18
Holyoke Hospital,Hampden - 01040,31,6
Lahey Hospital Burlington,Middlesex - 01805,150,51
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,61,20
Lowell General Hospital,Middlesex - 01854,99,24
Marlborough Hospital,Middlesex - 01752,18,7
Marthas Vineyard Hospital,Dukes - 02557,1,0
Massachusetts General Hospital,Suffolk - 02114,439,176
Melrose Wakefield Hospital,Middlesex - 02176,38,8
Mercy Medical Center,Hampden - 01104,38,6
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,36,11
MetroWest Medical Center Natick,Middlesex - 01760,17,4
Milford Regional Medical Center,Worcester - 01757,28,7
Morton Hospital,Bristol - 02780,84,12
Mount Auburn Hospital,Middlesex - 02138,66,12
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,123,21
North Shore Medical Center Salem,Essex - 01970,148,27
Norwood Hospital,Norfolk - 02062,51,12
Saint Vincent Hospital,Worcester - 01608,52,15
Saints Memorial Medical Center,Middlesex - 01852,3,0
South Shore Hospital,Norfolk - 02190,152,24
Southcoast Charlton Memorial Hospital,Bristol - 02720,31,10
St Annes Hospital,Bristol - 02721,1,0
St Elizabeths Medical Center,Suffolk - 02135,52,24
St Lukes Hospital,Bristol - 02740,56,14
Sturdy Memorial Hospital,Bristol - 02703,53,4
Tobey Hospital,Plymouth - 02571,8,2
Tufts Medical Center,Suffolk - 02111,91,53
UMass Memorial-Memorial Campus,Worcester - 01605,74,19
UMass Memorial-University Campus,Worcester - 01655,83,41
Winchester Hospital,Middlesex - 01890,44,6
Wing Memorial Hospital,Hampden - 01069,6,3
