Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,19,3
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,11,1
Baystate Medical Center,Hampden - 01199,138,18
Baystate Noble Hospital,Hampden - 01085,5,0
Berkshire Medical Center,Berkshire - 01201,19,8
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,61,9
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,26,6
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,39,2
Beth Israel Deaconess Medical Center,Suffolk - 02215,241,91
Beverly Hospital,Essex - 01915,78,12
Boston Childrens Hospital,Suffolk - 02115,8,2
Boston Medical Center,Suffolk - 02118,277,66
Brigham and Womens - Faulkner,Suffolk - 02130,81,9
Brigham and Womens Hospital,Suffolk - 02115,193,89
Brockton Hospital,Plymouth - 02302,108,16
Cambridge Hospital,Middlesex - 02139,107,20
Cape Cod Hospital,Barnstable - 02601,16,5
Carney Hospital,Suffolk - 02124,73,16
Clinton Hospital,Worcester- 01510,1,0
Cooley Dickinson Hospital,Hampshire - 01060,14,5
Emerson Hospital,Middlesex - 01742,26,2
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,19,6
Good Samaritan Medical Center,Plymouth - 02301,93,8
Harrington Hospital,Worcester - 01550,8,4
Health Alliance-Leominster,Worcester - 01453,25,5
Heywood Hospital,Worcester - 01440,16,4
Holy Family Hospital,Essex - 01844,69,19
Holyoke Hospital,Hampden - 01040,49,9
Lahey Hospital Burlington,Middlesex - 01805,163,55
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,63,22
Lowell General Hospital,Middlesex - 01854,103,29
Marlborough Hospital,Middlesex - 01752,16,7
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts General Hospital,Suffolk - 02114,447,177
Melrose Wakefield Hospital,Middlesex - 02176,49,7
Mercy Medical Center,Hampden - 01104,33,8
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,36,14
MetroWest Medical Center Natick,Middlesex - 01760,17,4
Milford Regional Medical Center,Worcester - 01757,35,8
Morton Hospital,Bristol - 02780,85,11
Mount Auburn Hospital,Middlesex - 02138,74,15
Nantucket Cottage Hospital,Nantucket - 02554,1,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,1,0
Newton-Wellesley Hospital,Middlesex - 02462,123,21
North Shore Medical Center Salem,Essex - 01970,144,22
Norwood Hospital,Norfolk - 02062,50,10
Saint Vincent Hospital,Worcester - 01608,80,14
Saints Memorial Medical Center,Middlesex - 01852,4,0
South Shore Hospital,Norfolk - 02190,153,23
Southcoast Charlton Memorial Hospital,Bristol - 02720,30,10
St Annes Hospital,Bristol - 02721,1,0
St Elizabeths Medical Center,Suffolk - 02135,46,22
St Lukes Hospital,Bristol - 02740,50,12
Sturdy Memorial Hospital,Bristol - 02703,48,9
Tobey Hospital,Plymouth - 02571,8,2
Tufts Medical Center,Suffolk - 02111,98,49
UMass Memorial-Memorial Campus,Worcester - 01605,66,19
UMass Memorial-University Campus,Worcester - 01655,85,37
Winchester Hospital,Middlesex - 01890,39,6
Wing Memorial Hospital,Hampden - 01069,5,2
