Hospital Name,Hospital county and zip code,"Hospitalized Total COVID
patients - suspected and confirmed (including ICU)",Hospitalized COVID Patients in ICU - suspected and confirmed,
Addison Gilbert Hospital,Essex - 01930,0,0,
Anna Jaques Hospital,Essex - 01950,26,5,
Athol Memorial Hospital,Worcester - 01331,0,0,
Baystate Franklin Medical Center,Franklin - 01301,5,0,
Baystate Medical Center,Hampden - 01199,120,16,
Baystate Noble Hospital,Hampden - 01085,7,0,
Baystate Wing Hospital,Hampden - 01069,6,0,
Berkshire Medical Center,Berkshire - 01201,8,5,
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,51,10,
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,29,4,
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,53,9,
Beth Israel Deaconess Medical Center,Suffolk - 02215,241,90,
Beverly Hospital,Essex - 01915,107,10,
Boston Childrens Hospital,Suffolk - 02115,13,4,
Boston Medical Center,Suffolk - 02118,259,62,
Brigham and Womens - Faulkner,Suffolk - 02130,78,8,
Brigham and Womens Hospital,Suffolk - 02115,192,76,
Brockton Hospital,Plymouth - 02302,70,11,
Cambridge Hospital,Middlesex - 02139,95,20,
Cape Cod Hospital,Barnstable - 02601,18,5,
Carney Hospital,Suffolk - 02124,63,15,
Clinton Hospital,Worcester- 01510,2,0,
Cooley Dickinson Hospital,Hampshire - 01060,15,6,
Emerson Hospital,Middlesex - 01742,39,2,
Fairview Hospital,Berkshire - 01230,3,0,
Falmouth Hospital,Barnstable - 02540,11,3,
Good Samaritan Medical Center,Plymouth - 02301,95,14,
Harrington Hospital,Worcester - 01550,9,2,
Health Alliance-Leominster,Worcester - 01453,18,2,
Heywood Hospital,Worcester - 01440,12,3,
Holy Family Hospital,Essex - 01844,59,25,
Holyoke Hospital,Hampden - 01040,40,6,
Lahey Hospital Burlington,Middlesex - 01805,141,59,
Lahey Hospital Peabody,Essex - 01960,0,0,
Lawrence General Hospital,Essex - 01841,66,17,
Lowell General Hospital,Middlesex - 01854,74,25,
Marlborough Hospital,Middlesex - 01752,18,10,
Marthas Vineyard Hospital,Dukes - 02557,0,0,
Massachusetts General Hospital,Suffolk - 02114,477,147,
Melrose Wakefield Hospital,Middlesex - 02176,52,11,
Mercy Medical Center,Hampden - 01104,32,7,
Merrimack Valley Hospital,Essex - 01830,0,0,
MetroWest Medical Center Framingham,Middlesex - 01702,58,9,
MetroWest Medical Center Natick,Middlesex - 01760,14,3,
Milford Regional Medical Center,Worcester - 01757,48,8,
Morton Hospital,Bristol - 02780,83,20,
Mount Auburn Hospital,Middlesex - 02138,77,10,
Nantucket Cottage Hospital,Nantucket - 02554,0,0,
Nashoba Valley Medical Center,Middlesex - 01432,0,0,
New England Baptist Hospital,Suffolk - 02120,0,0,
Newton-Wellesley Hospital,Middlesex - 02462,86,14,
North Shore Medical Center Salem,Essex - 01970,136,21,
Norwood Hospital,Norfolk - 02062,46,9,
Saint Vincent Hospital,Worcester - 01608,69,11,
Saints Memorial Medical Center,Middlesex - 01852,3,0,
South Shore Hospital,Norfolk - 02190,128,22,
Southcoast Charlton Memorial Hospital,Bristol - 02720,45,12,
St Annes Hospital,Bristol - 02721,1,0,
St Elizabeths Medical Center,Suffolk - 02135,55,23,
St Lukes Hospital,Bristol - 02740,46,8,
Sturdy Memorial Hospital,Bristol - 02703,32,6,
Tobey Hospital,Plymouth - 02571,16,4,
Tufts Medical Center,Suffolk - 02111,91,57,
UMass Memorial-Memorial Campus,Worcester - 01605,63,21,
UMass Memorial-University Campus,Worcester - 01655,106,49,
Winchester Hospital,Middlesex - 01890,68,9,
