Hospital Name,Hospital County and Zip Code,Hospitalized Total COVID patients - suspected and confirmed (including ICU),Hospitalized COVID patients in ICU - suspected and confirmed
Addison Gilbert Hospital,Essex - 01930,0,0
Anna Jaques Hospital,Essex - 01950,15,5
Athol Memorial Hospital,Worcester - 01331,0,0
Baystate Franklin Medical Center,Franklin - 01301,5,1
Baystate Medical Center,Hampden - 01199,82,16
Baystate Noble Hospital,Hampden - 01085,3,0
Wing Memorial Hospital,Hampden - 01069,9,0
Berkshire Medical Center,Berkshire - 01201,2,2
Beth Israel Deaconess Hospital - Milton,Norfolk - 02186,38,6
Beth Israel Deaconess Hospital - Needham,Norfolk - 02492,20,5
Beth Israel Deaconess Hospital - Plymouth,Plymouth - 02360,70,6
Beth Israel Deaconess Medical Center,Suffolk - 02215,197,74
Beverly Hospital,Essex - 01915,81,8
Boston Childrens Hospital,Suffolk - 02115,9,1
Boston Medical Center,Suffolk - 02118,188,43
Brigham and Womens - Faulkner,Suffolk - 02130,48,6
Brigham and Womens Hospital,Suffolk - 02115,139,62
Brockton Hospital,Plymouth - 02302,76,13
Cambridge Hospital,Middlesex - 02139,66,12
Cape Cod Hospital,Barnstable - 02601,18,6
Carney Hospital,Suffolk - 02124,43,12
Clinton Hospital,Worcester- 01510,0,0
Cooley Dickinson Hospital,Hampshire - 01060,22,4
Emerson Hospital,Middlesex - 01742,52,5
Fairview Hospital,Berkshire - 01230,3,0
Falmouth Hospital,Barnstable - 02540,7,0
Good Samaritan Medical Center,Plymouth - 02301,77,11
Harrington Hospital,Worcester - 01550,5,1
Health Alliance-Leominster,Worcester - 01453,25,6
Heywood Hospital,Worcester - 01440,4,1
Holy Family Hospital,Essex - 01844,58,21
Holyoke Hospital,Hampden - 01040,23,3
Lahey Hospital Burlington,Middlesex - 01805,115,55
Lahey Hospital Peabody,Essex - 01960,0,0
Lawrence General Hospital,Essex - 01841,66,15
Lowell General Hospital,Middlesex - 01854,81,29
Marlborough Hospital,Middlesex - 01752,25,12
Marthas Vineyard Hospital,Dukes - 02557,0,0
Massachusetts Eye and Ear Infirmary,Suffolk - 02114,5,0
Massachusetts General Hospital,Suffolk - 02114,315,90
Melrose Wakefield Hospital,Middlesex - 02176,38,8
Mercy Medical Center,Hampden - 01104,35,10
Merrimack Valley Hospital,Essex - 01830,0,0
MetroWest Medical Center Framingham,Middlesex - 01702,52,13
MetroWest Medical Center Natick,Middlesex - 01760,14,1
Milford Regional Medical Center,Worcester - 01757,39,8
Morton Hospital,Bristol - 02780,47,6
Mount Auburn Hospital,Middlesex - 02138,50,8
Nantucket Cottage Hospital,Nantucket - 02554,0,0
Nashoba Valley Medical Center,Middlesex - 01432,0,0
New England Baptist Hospital,Suffolk - 02120,0,0
Newton-Wellesley Hospital,Middlesex - 02462,66,11
North Shore Medical Center Salem,Essex - 01970,92,19
Norwood Hospital,Norfolk - 02062,36,3
Saint Vincent Hospital,Worcester - 01608,58,14
Saints Memorial Medical Center,Middlesex - 01852,0,0
South Shore Hospital,Norfolk - 02190,81,15
Southcoast Charlton Memorial Hospital,Bristol - 02720,63,14
St Annes Hospital,Bristol - 02721,4,0
St Elizabeths Medical Center,Suffolk - 02135,40,19
St Lukes Hospital,Bristol - 02740,76,15
Sturdy Memorial Hospital,Bristol - 02703,39,4
Tobey Hospital,Plymouth - 02571,22,3
Tufts Medical Center,Suffolk - 02111,58,34
UMass Memorial-Memorial Campus,Worcester - 01605,77,19
UMass Memorial-University Campus,Worcester - 01655,102,48
Winchester Hospital,Middlesex - 01890,47,7
