Addison Gilbert Hospital,Essex,0,0
Anna Jaques Hospital,Essex,12,1
Athol Memorial Hospital,Worcester,0,0
Baystate Franklin Medical Center,Franklin,2,0
Baystate Medical Center,Hampden,48,10
Baystate Noble Hospital,Hampden,2,0
Baystate Wing Hospital,Hampden,9,0
Berkshire Medical Center,Berkshire,4,0
Beth Israel Deaconess Hospital - Milton,Norfolk,11,4
Beth Israel Deaconess Hospital - Needham,Norfolk,13,3
Beth Israel Deaconess Hospital - Plymouth,Plymouth,58,9
Beth Israel Deaconess Medical Center,Suffolk,115,37
Beverly Hospital,Essex,26,3
Boston Childrens Hospital*,Suffolk,4,0
Boston Medical Center,Suffolk,86,18
Brigham and Womens - Faulkner,Suffolk,27,1
Brigham and Womens Hospital,Suffolk,63,20
Brockton Hospital,Plymouth,31,6
Cambridge Hospital,Middlesex,24,5
Cape Cod Hospital,Barnstable,7,2
Carney Hospital,Suffolk,36,8
Clinton Hospital,Worcester,2,0
Cooley Dickinson Hospital,Hampshire,18,7
Dana Farber Cancer Institute*,Suffolk,0,0
Emerson Hospital,Middlesex,16,2
Fairview Hospital,Berkshire,0,0
Falmouth Hospital,Barnstable,1,0
Good Samaritan Medical Center,Plymouth,34,6
Harrington Hospital,Worcester,2,2
Health Alliance-Leominster,Worcester,13,4
Heywood Hospital,Worcester,8,1
Holy Family Hospital,Essex,18,3
Holyoke Hospital,Hampden,8,0
Lahey Hospital Burlington,Middlesex,55,16
Lahey Hospital Peabody,Essex,0,0
Lawrence General Hospital,Essex,35,5
Lowell General Hospital,Middlesex,38,8
Marlborough Hospital,Middlesex,23,7
Marthas Vineyard Hospital,Dukes,0,0
Massachusetts Eye and Ear Infirmary*,Suffolk,0,0
Massachusetts General Hospital,Suffolk,151,45
Melrose Wakefield Hospital,Middlesex,14,1
Mercy Medical Center,Hampden,20,4
Merrimack Valley Hospital,Essex,0,0
MetroWest Medical Center Framingham,Middlesex,34,9
MetroWest Medical Center Natick,Middlesex,5,2
Milford Regional Medical Center,Worcester,13,0
Morton Hospital,Bristol,22,4
Mount Auburn Hospital,Middlesex,27,8
Nantucket Cottage Hospital,Nantucket,0,0
Nashoba Valley Medical Center,Middlesex,0,0
New England Baptist Hospital,Suffolk,0,0
Newton-Wellesley Hospital,Middlesex,50,10
North Shore Medical Center Salem,Essex,74,14
Norwood Hospital,Norfolk,12,2
Saint Vincent Hospital,Worcester,49,9
Saints Memorial Medical Center,Middlesex,0,0
South Shore Hospital,Norfolk,50,12
Southcoast Charlton Memorial Hospital,Bristol,76,15
St Annes Hospital,Bristol,0,0
St Elizabeths Medical Center,Suffolk,19,7
St Lukes Hospital,Bristol,69,10
Sturdy Memorial Hospital,Bristol,27,4
Tobey Hospital,Bristol,20,2
Tufts Medical Center,Suffolk,54,17
UMass Memorial-Memorial Campus,Worcester,31,7
UMass Memorial-University Campus,Worcester,64,32
Winchester Hospital,Middlesex,17,2
