Addison Gilbert Hospital,Essex,0,0
Anna Jaques Hospital,Essex,11,3
Athol Memorial Hospital,Worcester,0,0
Baystate Franklin Medical Center,Franklin,1,0
Baystate Medical Center,Hampden,57,12
Baystate Noble Hospital,Hampden,2,0
Baystate Wing Hospital,Hampden,6,0
Berkshire Medical Center,Berkshire,5,0
Beth Israel Deaconess Hospital - Milton,Norfolk,18,6
Beth Israel Deaconess Hospital - Needham,Norfolk,19,4
Beth Israel Deaconess Hospital - Plymouth,Plymouth,54,7
Beth Israel Deaconess Medical Center,Suffolk,117,37
Beverly Hospital,Essex,24,3
Boston Childrens Hospital*,Suffolk,7,0
Boston Medical Center,Suffolk,95,24
Brigham and Womens - Faulkner,Suffolk,26,2
Brigham and Womens Hospital,Suffolk,72,22
Brockton Hospital,Plymouth,32,7
Cambridge Hospital,Middlesex,21,5
Cape Cod Hospital,Barnstable,7,2
Carney Hospital,Suffolk,43,10
Clinton Hospital,Worcester,1,0
Cooley Dickinson Hospital,Hampshire,16,7
Dana Farber Cancer Institute*,Suffolk,0,0
Emerson Hospital,Middlesex,14,2
Fairview Hospital,Berkshire,0,0
Falmouth Hospital,Barnstable,9,0
Good Samaritan Medical Center,Plymouth,37,6
Harrington Hospital,Worcester,3,2
Health Alliance-Leominster,Worcester,16,3
Heywood Hospital,Worcester,7,0
Holy Family Hospital,Essex,18,5
Holyoke Hospital,Hampden,12,1
Lahey Hospital Burlington,Middlesex,58,21
Lahey Hospital Peabody,Essex,0,0
Lawrence General Hospital,Essex,33,11
Lowell General Hospital,Middlesex,44,8
Marlborough Hospital,Middlesex,20,9
Marthas Vineyard Hospital,Dukes,0,0
Massachusetts Eye and Ear Infirmary*,Suffolk,0,0
Massachusetts General Hospital,Suffolk,169,47
Melrose Wakefield Hospital,Middlesex,12,1
Mercy Medical Center,Hampden,19,3
Merrimack Valley Hospital,Essex,0,0
MetroWest Medical Center Framingham,Middlesex,38,11
MetroWest Medical Center Natick,Middlesex,7,2
Milford Regional Medical Center,Worcester,13,0
Morton Hospital,Bristol,23,3
Mount Auburn Hospital,Middlesex,23,6
Nantucket Cottage Hospital,Nantucket,0,0
Nashoba Valley Medical Center,Middlesex,0,0
New England Baptist Hospital,Suffolk,0,0
Newton-Wellesley Hospital,Middlesex,50,10
North Shore Medical Center Salem,Essex,68,10
Norwood Hospital,Norfolk,14,4
Saint Vincent Hospital,Worcester,56,10
Saints Memorial Medical Center,Middlesex,0,0
South Shore Hospital,Norfolk,52,12
Southcoast Charlton Memorial Hospital,Bristol,71,15
St Annes Hospital,Bristol,0,0
St Elizabeths Medical Center,Suffolk,18,8
St Lukes Hospital,Bristol,74,12
Sturdy Memorial Hospital,Bristol,23,4
Tobey Hospital,Bristol,24,1
Tufts Medical Center,Suffolk,51,17
UMass Memorial-Memorial Campus,Worcester,40,8
UMass Memorial-University Campus,Worcester,63,32
Winchester Hospital,Middlesex,11,1
