,date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
1158,2020-05-14,Barnstable,Massachusetts,25001.0,1111,79.0,1111.0,79.0,,
1159,2020-05-14,Berkshire,Massachusetts,25003.0,486,37.0,486.0,37.0,,
1160,2020-05-14,Bristol,Massachusetts,25005.0,5249,288.0,5249.0,288.0,,
1161,2020-05-14,Dukes,Massachusetts,25007.0,23,1.0,23.0,1.0,,
1162,2020-05-14,Essex,Massachusetts,25009.0,11703,704.0,11703.0,704.0,,
1163,2020-05-14,Franklin,Massachusetts,25011.0,302,43.0,302.0,43.0,,
1164,2020-05-14,Hampden,Massachusetts,25013.0,4889,475.0,4889.0,475.0,,
1165,2020-05-14,Hampshire,Massachusetts,25015.0,708,64.0,708.0,64.0,,
1166,2020-05-14,Middlesex,Massachusetts,25017.0,18201,1282.0,18201.0,1282.0,,
1167,2020-05-14,Nantucket,Massachusetts,25019.0,12,0.0,12.0,0.0,,
1168,2020-05-14,Norfolk,Massachusetts,25021.0,7129,676.0,7129.0,676.0,,
1169,2020-05-14,Plymouth,Massachusetts,25023.0,6592,424.0,6592.0,424.0,,
1170,2020-05-14,Suffolk,Massachusetts,25025.0,15587,749.0,15587.0,749.0,,
1172,2020-05-14,Worcester,Massachusetts,25027.0,8241,489.0,8241.0,489.0,,
